DATE,A074RC1Q027SBEA
1947-01-01,18.192
1947-04-01,18.488
1947-07-01,18.704
1947-10-01,19.788
1948-01-01,20.06
1948-04-01,17.808
1948-07-01,17.1
1948-10-01,17.292
1949-01-01,16.472
1949-04-01,15.648
1949-07-01,14.932
1949-10-01,14.452
1950-01-01,15.156
1950-04-01,16.12
1950-07-01,17.432
1950-10-01,21.02
1951-01-01,22.78
1951-04-01,24.708
1951-07-01,26.096
1951-10-01,27.916
1952-01-01,29.06
1952-04-01,29.968
1952-07-01,30.428
1952-10-01,31.212
1953-01-01,31.5
1953-04-01,31.516
1953-07-01,31.236
1953-10-01,30.972
1954-01-01,28.14
1954-04-01,27.888
1954-07-01,27.896
1954-10-01,28.348
1955-01-01,29.048
1955-04-01,30.068
1955-07-01,30.956
1955-10-01,31.808
1956-01-01,32.704
1956-04-01,33.572
1956-07-01,34.212
1956-10-01,35.164
1957-01-01,35.712
1957-04-01,36.076
1957-07-01,36.292
1957-10-01,35.896
1958-01-01,35.156
1958-04-01,34.668
1958-07-01,35.868
1958-10-01,36.248
1959-01-01,37.152
1959-04-01,38.292
1959-07-01,38.712
1959-10-01,39.708
1960-01-01,41.14
1960-04-01,41.816
1960-07-01,42.264
1960-10-01,42.132
1961-01-01,42.164
1961-04-01,42.46
1961-07-01,42.756
1961-10-01,43.396
1962-01-01,44.552
1962-04-01,45.964
1962-07-01,47.216
1962-10-01,48.384
1963-01-01,48.832
1963-04-01,49.008
1963-07-01,49.096
1963-10-01,49.616
1964-01-01,47.992
1964-04-01,43.724
1964-07-01,45.36
1964-10-01,46.864
1965-01-01,50.504
1965-04-01,51.868
1965-07-01,50.384
1965-10-01,51.516
1966-01-01,54.392
1966-04-01,58
1966-07-01,59.836
1966-10-01,62.18
1967-01-01,62.856
1967-04-01,62.648
1967-07-01,65.156
1967-10-01,66.884
1968-01-01,68.832
1968-04-01,71.392
1968-07-01,81.016
1968-10-01,84.5
1969-01-01,90.744
1969-04-01,93.336
1969-07-01,90.776
1969-10-01,91.944
1970-01-01,90.556
1970-04-01,91.364
1970-07-01,86.34
1970-10-01,87.152
1971-01-01,83.62
1971-04-01,85.108
1971-07-01,86.292
1971-10-01,88.192
1972-01-01,100.284
1972-04-01,102.404
1972-07-01,103.06
1972-10-01,105.28
1973-01-01,104.5
1973-04-01,106.864
1973-07-01,110.976
1973-10-01,115.984
1974-01-01,119.528
1974-04-01,124.82
1974-07-01,129.748
1974-10-01,132.004
1975-01-01,132.264
1975-04-01,94.612
1975-07-01,125.664
1975-10-01,130.38
1976-01-01,133.035
1976-04-01,138.739
1976-07-01,144.527
1976-10-01,150.087
1977-01-01,155.268
1977-04-01,160.972
1977-07-01,162.624
1977-10-01,171.188
1978-01-01,173.36
1978-04-01,182.944
1978-07-01,195.376
1978-10-01,205.116
1979-01-01,211.591
1979-04-01,219.935
1979-07-01,229.435
1979-10-01,238.563
1980-01-01,238.273
1980-04-01,244.173
1980-07-01,252.789
1980-10-01,267.249
1981-01-01,278.363
1981-04-01,288.999
1981-07-01,301.399
1981-10-01,295.899
1982-01-01,295.213
1982-04-01,301.669
1982-07-01,289.737
1982-10-01,295.765
1983-01-01,289.538
1983-04-01,295.282
1983-07-01,277.342
1983-10-01,284.934
1984-01-01,287.888
1984-04-01,294.596
1984-07-01,307.34
1984-10-01,317.748
1985-01-01,353.018
1985-04-01,307.582
1985-07-01,340.03
1985-10-01,345.182
1986-01-01,341.825
1986-04-01,344.405
1986-07-01,351.973
1986-10-01,364.201
1987-01-01,358.341
1987-04-01,410.213
1987-07-01,394.853
1987-10-01,408.541
1988-01-01,402.645
1988-04-01,400.585
1988-07-01,402.529
1988-10-01,409.621
1989-01-01,439.507
1989-04-01,448.427
1989-07-01,457.067
1989-10-01,467.379
1990-01-01,463.172
1990-04-01,472.028
1990-07-01,477.004
1990-10-01,476.232
1991-01-01,459.568
1991-04-01,461.448
1991-07-01,464.132
1991-10-01,469.212
1992-01-01,461.343
1992-04-01,470.239
1992-07-01,479.431
1992-10-01,498.975
1993-01-01,480.339
1993-04-01,505.254
1993-07-01,515.625
1993-10-01,529.534
1994-01-01,526.741
1994-04-01,555.921
1994-07-01,544.221
1994-10-01,553.445
1995-01-01,567.68
1995-04-01,594.377
1995-07-01,591.549
1995-10-01,607.583
1996-01-01,636.39
1996-04-01,673.639
1996-07-01,674.219
1996-10-01,689.392
1997-01-01,724.327
1997-04-01,739.297
1997-07-01,757.034
1997-10-01,778.63
1998-01-01,800.573
1998-04-01,820.909
1998-07-01,841.613
1998-10-01,861.701
1999-01-01,869.78
1999-04-01,885.757
1999-07-01,904.167
1999-10-01,929.991
2000-01-01,976.598
2000-04-01,986.846
2000-07-01,1011.109
2000-10-01,1023.905
2001-01-01,1050.979
2001-04-01,1048.96
2001-07-01,881.691
2001-10-01,1002.429
2002-01-01,847.779
2002-04-01,836.634
2002-07-01,825.277
2002-10-01,819.558
2003-01-01,803.467
2003-04-01,812.879
2003-07-01,716.472
2003-10-01,781.595
2004-01-01,773.196
2004-04-01,792.373
2004-07-01,816.638
2004-10-01,829.715
2005-01-01,902.865
2005-04-01,925.811
2005-07-01,949.483
2005-10-01,970.549
2006-01-01,1025.399
2006-04-01,1040.953
2006-07-01,1060.715
2006-10-01,1095.596
2007-01-01,1145.769
2007-04-01,1163.64
2007-07-01,1178.977
2007-10-01,1194.108
2008-01-01,1201.419
2008-04-01,1191.004
2008-07-01,1173.395
2008-10-01,1139.461
2009-01-01,920.946
2009-04-01,855.168
2009-07-01,841.657
2009-10-01,847.117
2010-01-01,903.054
2010-04-01,934.889
2010-07-01,958.106
2010-10-01,976.823
2011-01-01,1110.93
2011-04-01,1125.957
2011-07-01,1143.679
2011-10-01,1140.451
2012-01-01,1137.68
2012-04-01,1150.097
2012-07-01,1163.248
2012-10-01,1212.235
2013-01-01,1272.892
2013-04-01,1295.768
2013-07-01,1307.872
2013-10-01,1332.715
2014-01-01,1368.708
2014-04-01,1388.369
2014-07-01,1412.617
2014-10-01,1442.87
2015-01-01,1507.824
2015-04-01,1526.133
2015-07-01,1538.444
2015-10-01,1550.136
2016-01-01,1524.397
2016-04-01,1535.098
2016-07-01,1552.685
2016-10-01,1573.997
2017-01-01,1581.589
2017-04-01,1601.793
2017-07-01,1622.065
2017-10-01,1646.964
2018-01-01,1605.333
2018-04-01,1613.451
2018-07-01,1628.281
2018-10-01,1633.859
2019-01-01,1687.966
2019-04-01,1699.613
2019-07-01,1716.09
